assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,Season
0,0,0,0,0.0,686,275,0,0,0.0,0.0,2021-03-14T19:15:00Z,0,19,0,0,0,0,28,0,0,0,1,0.0,0,0,0,0,40,True,0,Man Utd,West Ham,4,4,0,2021
0,0,0,0,0.0,686,295,0,0,0.0,0.0,2021-04-04T18:30:00Z,0,3,0,0,0,0,30,0,140,1,2,0.0,0,48,61,13,40,True,0,Man Utd,Brighton,4,3,0,2021
0,0,0,0,0.0,686,306,0,0,0.0,0.0,2021-04-11T15:30:00Z,0,17,0,0,0,0,31,0,213,3,1,0.0,0,47,84,37,40,False,0,Man Utd,Spurs,4,4,0,2021
0,0,0,0,0.0,686,315,0,0,0.0,0.0,2021-04-18T15:00:00Z,0,4,0,0,0,0,32,0,240,1,3,0.0,0,15,60,45,40,True,0,Man Utd,Burnley,4,2,0,2021
0,0,0,0,0.0,686,322,0,0,0.0,0.0,2021-04-25T13:00:00Z,0,10,0,0,0,0,33,0,295,0,0,0.0,0,20,47,27,40,False,0,Man Utd,Leeds,4,3,0,2021
0,0,0,0,0.0,686,340,0,0,0.0,0.0,2021-05-09T13:05:00Z,0,2,0,0,0,0,35,0,313,3,1,0.0,0,-35,36,71,40,False,0,Man Utd,Aston Villa,4,3,0,2021
0,0,0,0,0.0,686,352,0,0,0.0,0.0,2021-05-11T17:00:00Z,0,9,0,0,0,0,35,0,313,2,1,0.0,0,-35,36,71,40,True,0,Man Utd,Leicester,4,4,0,2021
0,0,0,0,0.0,686,334,0,0,0.0,0.0,2021-05-13T19:15:00Z,0,11,0,0,0,0,35,0,313,4,2,0.0,0,-35,36,71,40,True,0,Man Utd,Liverpool,4,4,0,2021
0,0,0,0,0.0,686,364,0,0,0.0,0.0,2021-05-18T17:00:00Z,0,8,0,0,0,0,37,0,380,1,1,0.0,0,9,38,29,40,True,0,Man Utd,Fulham,4,2,0,2021
0,0,0,0,0.0,686,378,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,20,0,0,0,0,38,0,465,2,1,0.0,0,65,107,42,40,False,0,Man Utd,Wolves,4,3,0,2021
