assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_2021
0,0,0,0,0.0,609,235,0,0,0.0,0.0,2021-02-13T17:30:00Z,0,17,0,0,0,0,24,0,236,0,3,0.0,0,-19,18,37,45,True,0,Man City,Spurs,5,3,2,6.041666666666668,0,0.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1
0,0,0,0,0.0,609,153,0,0,0.0,0.0,2021-02-17T20:15:00Z,0,7,0,0,0,0,24,0,236,3,1,0.0,0,-19,18,37,45,False,0,Man City,Everton,4,3,2,4.114583333333333,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1
0,0,0,0,0.0,609,239,0,0,0.0,0.0,2021-02-21T16:30:00Z,0,1,0,0,0,0,25,0,248,1,0,0.0,0,-4,22,26,45,False,0,Man City,Arsenal,4,4,2,3.84375,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1
0,0,0,0,0.0,609,254,0,0,0.0,0.0,2021-02-27T12:30:00Z,0,19,0,0,0,0,26,0,273,1,2,0.0,0,6,23,17,45,True,0,Man City,West Ham,5,4,2,5.833333333333332,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1
0,0,0,0,0.0,609,284,0,0,0.0,0.0,2021-03-02T20:00:00Z,0,20,0,0,0,0,26,0,273,1,4,0.0,0,6,23,17,45,True,0,Man City,Wolves,5,2,2,5.3125,0,0.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
0,0,0,0,0.0,609,264,0,0,0.0,0.0,2021-03-07T16:30:00Z,0,13,0,0,0,0,27,0,276,2,0,0.0,0,-6,10,16,45,True,0,Man City,Man Utd,5,4,2,4.854166666666667,0,0.0,-2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
0,0,0,0,0.0,609,325,0,0,0.0,0.0,2021-03-10T18:00:00Z,0,16,0,0,0,0,27,0,276,2,5,0.0,0,-6,10,16,45,True,0,Man City,Southampton,5,2,2,3.0625,0,0.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,0,0,0.0,609,272,0,0,0.0,0.0,2021-03-13T20:00:00Z,0,8,0,0,0,0,28,0,281,3,0,0.0,0,-5,10,15,45,False,0,Man City,Fulham,4,2,2,3.083333333333333,0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1
0,0,0,0,0.0,609,294,0,0,0.0,0.0,2021-04-03T16:30:00Z,0,9,0,0,0,0,30,0,297,2,0,0.0,0,-1,9,10,45,False,0,Man City,Leicester,4,4,2,5.0,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1
0,0,0,0,0.0,609,304,0,0,0.0,0.0,2021-04-10T11:30:00Z,0,10,0,0,0,0,31,0,298,2,1,0.0,0,-4,3,7,45,True,0,Man City,Leeds,5,3,2,6.791666666666668,0,0.0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1
0,0,0,0,0.0,609,310,0,0,0.0,0.0,2021-04-21T19:15:00Z,0,2,0,0,0,0,32,0,303,2,1,0.0,0,0,5,5,45,False,0,Man City,Aston Villa,4,3,2,5.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,0,0,0.0,609,332,0,0,0.0,0.0,2021-05-01T11:30:00Z,0,6,0,0,0,0,34,0,323,2,0,0.0,0,6,13,7,45,False,0,Man City,Crystal Palace,4,3,2,9.677083333333334,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1
0,0,0,0,0.0,609,345,0,0,0.0,0.0,2021-05-08T16:30:00Z,0,5,0,0,0,0,35,0,323,2,1,0.0,0,-4,11,15,45,True,0,Man City,Chelsea,5,4,2,7.208333333333332,0,0.0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1
0,0,0,0,0.0,609,356,0,0,0.0,0.0,2021-05-14T19:00:00Z,0,14,0,0,0,0,36,0,333,4,3,0.0,0,2,12,10,45,False,0,Man City,Newcastle,4,2,2,6.104166666666668,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1
0,0,0,0,0.0,609,359,0,0,0.0,0.0,2021-05-18T18:00:00Z,0,3,0,0,0,0,37,0,341,2,3,0.0,0,1,11,10,45,False,0,Man City,Brighton,4,3,2,3.9583333333333335,0,0.0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1
0,0,0,0,0.0,609,375,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,7,0,0,0,0,38,0,348,0,5,0.0,0,4,13,9,45,True,0,Man City,Everton,5,4,2,4.875,0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1
