assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_2122
0,0,0,0,0.0,396,8,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,2,0,0,0,0,1,0,13068,2,3,0.0,0,0,0,0,45,True,0,Watford,Aston Villa,2,3,1,7.0,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,0,0,0.0,396,12,0,0,0.0,0.0,2021-08-21T16:30:00Z,0,4,0,0,0,0,2,0,11739,0,2,0.0,0,-2137,74,2211,45,False,0,Watford,Brighton,2,3,1,7.104166666666668,0,0.0,-2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,15,0,0.1,396,27,1,0,1.6,15.8,2021-08-29T13:00:00Z,90,17,0,0,0,0,3,0,9437,0,1,0.0,2,-2500,120,2620,44,False,0,Watford,Spurs,2,4,1,7.854166666666668,0,0.0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1
0,0,10,0,0.2,396,40,2,0,1.8,17.6,2021-09-11T14:00:00Z,90,20,1,0,0,0,4,0,9288,2,0,0.0,-1,-688,1505,2193,44,True,0,Watford,Wolves,2,3,1,5.0,0,1.6,-2,1,0.0,0.0,0.3333333333333333,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,1
0,0,0,0,0.0,396,47,0,0,0.0,0.0,2021-09-18T14:00:00Z,0,15,0,0,0,0,5,0,8419,3,1,0.0,0,-976,234,1210,44,False,0,Watford,Norwich,2,2,1,7.0,0,1.8,2,0,0.0,0.0,0.75,0.0,45.0,0.0,0.0,0.25,0.0,0.0,0.0,-1.0,1
0,0,0,0,0.0,396,60,0,0,0.0,0.0,2021-09-25T14:00:00Z,0,14,0,0,0,0,6,0,7603,1,1,0.0,0,-909,83,992,43,True,0,Watford,Newcastle,2,2,1,7.0,0,0.0,0,1,0.0,0.0,0.6,0.0,36.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.4,1
0,0,11,0,0.1,396,65,1,0,1.0,10.0,2021-10-02T14:00:00Z,67,10,0,0,0,0,7,0,7000,0,1,0.0,2,-678,144,822,43,False,0,Watford,Leeds,2,2,1,7.0,0,0.0,-1,0,0.0,0.0,0.6,0.0,36.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.6,1
0,0,0,0,0.0,396,80,0,0,0.0,0.0,2021-10-16T11:30:00Z,0,11,0,0,0,0,8,0,5983,5,0,0.0,0,-1019,189,1208,43,True,0,Watford,Liverpool,2,4,1,5.0,0,1.0,-5,1,0.0,0.0,0.8,0.0,49.4,0.0,0.0,0.2,0.0,0.0,0.0,-0.4,1
0,0,0,0,0.0,396,86,0,0,0.0,0.0,2021-10-23T14:00:00Z,0,8,0,0,0,0,9,0,5511,5,2,0.0,0,-494,115,609,43,False,0,Watford,Everton,2,2,1,7.104166666666668,0,0.0,3,0,0.0,0.0,0.6,0.0,31.4,0.0,0.0,0.2,0.0,0.0,0.0,-1.2,1
0,0,0,0,0.0,396,99,0,0,0.0,0.0,2021-10-30T14:00:00Z,0,16,0,0,0,0,10,0,5007,1,0,0.0,0,-499,34,533,43,True,0,Watford,Southampton,2,2,1,7.0,0,0.0,-1,1,0.0,0.0,0.2,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1
0,0,0,0,0.0,396,101,0,0,0.0,0.0,2021-11-07T14:00:00Z,0,1,0,0,0,0,11,0,4856,0,1,0.0,0,-176,17,193,43,False,0,Watford,Arsenal,2,4,1,7.0,0,0.0,-1,0,0.0,0.0,0.2,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1
0,0,0,0,0.0,396,119,0,0,0.0,0.0,2021-11-20T15:00:00Z,0,13,0,0,0,0,12,0,4687,1,4,0.0,0,-201,17,218,43,True,0,Watford,Man Utd,2,3,1,5.0,0,0.0,3,1,0.0,0.0,0.2,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
0,0,0,0,0.0,396,127,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,9,0,0,0,0,13,0,4523,2,4,0.0,0,-164,72,236,43,False,0,Watford,Leicester,2,3,1,7.958333333333332,0,0.0,-2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1
